id,title,author,format,status,read,pct_complete,first_seen,last_seen,events,sources,note_file,deleted
the-cold-start-problem-how-to-start-and-scale-network-ef,The Cold Start Problem: How to Start and Scale Network Effects,Andrew Chen,audiobook+library+print,owned,,19,2021-09-28,2022-12-10,3,amazon-print; audible; libby,,
team-of-teams-general-stanley-mcchrystal-tantum-collins,Team of Teams,"General Stanley McChrystal, Tantum Collins",library,borrowed,yes,,2021-08-20,,1,libby,,
the-5-second-rule-mel-robbins,The 5 Second Rule,Mel Robbins,audiobook,owned,,41,2021-08-02,,1,audible,,
me-elton-john,Me,Elton John,library,borrowed,,,2021-06-24,,1,libby,,
the-ultimate-kauai-guidebook-kauai-revealed-ultimate-gui,The Ultimate Kauai Guidebook: Kauai Revealed (Ultimate Guidebook),,ebook,owned,,,2021-05-31,,2,kindle; kindle-library,,
caste-isabel-wilkerson,Caste,Isabel Wilkerson,library,borrowed,,,2021-05-28,,1,libby,,
ferryboats-a-legend-on-puget-sound,Ferryboats: A legend on Puget Sound,,print,owned,,,2021-05-15,,1,amazon-print,,
extreme-ownership-jocko-willink-leif-babin,Extreme Ownership,"Jocko Willink, Leif Babin",library,borrowed,,,2021-05-08,2021-06-15,2,libby,,
memorial-drive-natasha-trethewey,Memorial Drive,Natasha Trethewey,library,borrowed,,,2021-04-11,,1,libby,,
the-everything-store-jeff-bezos-and-the-age-of-amazon-br,The Everything Store: Jeff Bezos and the Age of Amazon,Brad Stone,print,owned,,,2021-03-31,,1,amazon-print; shelf-photo,,
cracking-the-amazon-interview-a-step-by-step-guide-to-la,Cracking the Amazon Interview: A Step by Step Guide to Land the Job,,print,owned,,,2021-03-31,,1,amazon-print,,
outcomes-over-output-why-customer-behavior-is-the-key-me,Outcomes Over Output: Why customer behavior is the key metric for business suc,,print,owned,,,2021-03-31,,1,amazon-print,,
story-10x-turn-the-impossible-into-the-inevitable-michae,Story 10x: Turn the Impossible Into the Inevitable,Michael Margolis,audiobook+print,owned,,46,2021-01-30,2021-09-27,2,amazon-print; audible,,
astrophysics-for-people-in-a-hurry-neil-degrasse-tyson,Astrophysics for People in a Hurry,Neil deGrasse Tyson,audiobook,owned,,4,2021-01-22,,1,audible,,
the-socrates-express-eric-weiner,The Socrates Express,Eric Weiner,audiobook,owned,,1,2021-01-22,,1,audible,,
principles-ray-dalio,Principles,Ray Dalio,audiobook,finished,yes,100,2021-01-22,,1,audible,,
range-why-generalists-triumph-in-a-specialized-world,Range: Why Generalists Triumph in a Specialized World,,ebook,owned,,,2020-12-13,,2,kindle; kindle-library,,
the-99-invisible-city-a-field-guide-to-the-hidden-world,The 99% Invisible City: A Field Guide to the Hidden World of Everyday Design,,print,owned,,,2020-11-25,,1,amazon-print,,
the-new-york-times-sunday-crossword-omnibus-volume-12-20,The New York Times Sunday Crossword Omnibus Volume 12: 200 World-Famous Sunday,,print,owned,,,2020-11-25,,1,amazon-print,,
a-promised-land-barack-obama,A Promised Land,Barack Obama,audiobook,finished,yes,100,2020-11-19,,1,audible,,
the-first-90-days-updated-and-expanded-proven-strategies,"The First 90 Days, Updated and Expanded: Proven Strategies for Getting Up to S",,ebook,owned,,,2020-10-12,,2,kindle; kindle-library,,
medical-medium-thyroid-healing-anthony-william,Medical Medium Thyroid Healing,Anthony William,audiobook,finished,yes,100,2020-10-08,,1,audible,,
zone-to-win-geoffrey-a-moore,Zone to Win,Geoffrey A. Moore,audiobook+ebook,finished,yes,55,2020-09-28,,2,audible; kindle,,
getting-real-the-smarter-faster-easier-way-to-build-a-su,"Getting Real: The Smarter, Faster, Easier Way to Build a Successful Web Applic",,print,owned,,,2020-09-07,,1,amazon-print,,
hoh-rainforest-gordon-hempton-audible-sleep,Hoh Rainforest,"Gordon Hempton,Audible Sleep",audiobook+ebook,uncertain,,84,2020-08-20,,2,audible; kindle,,
how-to-be-an-antiracist-ibram-x-kendi,How to Be an Antiracist,Ibram X. Kendi,audiobook,finished,yes,100,2020-07-25,,1,audible,,
too-much-and-never-enough-mary-l-trump-ph-d-ph-d,Too Much and Never Enough,Mary L. Trump Ph.D. Ph.D.,audiobook,owned,,77,2020-07-15,,1,audible,,
storytelling-with-data-let-s-practice,Storytelling with Data: Let's Practice!,,print,owned,,,2020-07-10,,2,amazon-print,,
the-fifth-discipline-peter-m-senge,The Fifth Discipline,Peter M. Senge,audiobook,finished,yes,100,2020-06-12,,1,audible,,
touching-the-void-joe-simpson,Touching the Void,Joe Simpson,audiobook,finished,yes,17,2020-05-24,,1,audible,,
100-classic-hikes-washington-3rd-edition-olympic-peninsu,"100 Classic Hikes: Washington, 3rd Edition: Olympic Peninsula / South Cascades",,print,owned,,,2020-05-19,,1,amazon-print,,
day-hiking-snoqualmie-region-cascade-foothills-i90-corri,Day Hiking Snoqualmie Region: Cascade Foothills * I90 Corridor * Alpine Lakes,,print,owned,,,2020-05-19,,1,amazon-print,,
eleven-rings-phil-jackson-hugh-delehanty,Eleven Rings,"Phil Jackson,Hugh Delehanty",audiobook,finished,yes,100,2020-05-10,,1,audible,,
saltwater-table-recipes-from-the-coastal-south,Saltwater Table: Recipes from the Coastal South,,print,owned,,,2020-05-02,,1,amazon-print,,
the-essential-enneagram-the-definitive-personality-test,The Essential Enneagram: The Definitive Personality Test and Self-Discovery Gu,"David Daniels,Virginia Price",ebook,borrowed,,,2020-03-30,,2,kindle-library; kindle-unlimited,,
the-four-agreements-don-miguel-ruiz,The Four Agreements,don Miguel Ruiz,audiobook,finished,yes,100,2020-03-25,,1,audible,,
outliers-malcolm-gladwell,Outliers,Malcolm Gladwell,audiobook,finished,yes,100,2020-03-22,,1,audible,,
break-shot-my-first-21-years-words-music-vol-2-james-tay,"Break Shot: My First 21 Years: Words + Music, Vol. 2",James Taylor,audiobook+ebook,uncertain,,,2020-03-08,,2,audible; kindle,,
life-keith-richards-james-fox,Life,"Keith Richards,James Fox",audiobook+ebook,uncertain,,6,2020-03-02,,2,audible; kindle,,
inspired-how-to-create-tech-products-customers-love-sili,Inspired: How to Create Tech Products Customers Love (Silicon Valley Product G,Marty Cagan,audiobook+ebook+print,owned,,29,2020-02-21,2021-05-15,3,amazon-print; audible; kindle,,
ultralearning-scott-h-young,Ultralearning,Scott H. Young,audiobook+ebook,owned,,52,2020-01-14,,2,audible; kindle,,
america-vol-1-the-life-and-times-of-america-chavez,America Vol. 1: The Life and Times of America Chavez,,,,,,,,,,,2026-09-12
the-education-of-an-idealist-samantha-power,The Education of an Idealist,Samantha Power,audiobook+ebook,owned,,15,2019-12-19,,2,audible; kindle,,
moonwalking-with-einstein-joshua-foer,Moonwalking with Einstein,Joshua Foer,audiobook+ebook,finished,yes,100,2019-12-19,,2,audible; kindle,,
catch-and-kill-ronan-farrow,Catch and Kill,Ronan Farrow,audiobook+ebook,finished,yes,100,2019-12-19,,2,audible; kindle,,
the-anatomy-coloring-book,The Anatomy Coloring Book,,print,owned,,,2019-11-30,,1,amazon-print,,
blowout-rachel-maddow,Blowout,Rachel Maddow,audiobook+ebook,finished,yes,100,2019-11-27,,2,audible; kindle,,
thinking-in-systems-donella-h-meadows,Thinking in Systems,Donella H. Meadows,audiobook+ebook,finished,yes,100,2019-10-25,,2,audible; kindle,,
the-water-dancer-oprah-s-book-club-ta-nehisi-coates,The Water Dancer (Oprah’s Book Club),Ta-Nehisi Coates,audiobook+ebook,owned,,9,2019-09-28,,2,audible; kindle,,
the-sports-gene-david-epstein,The Sports Gene,David Epstein,audiobook+ebook,finished,yes,100,2019-08-25,,2,audible; kindle,,
the-impossible-climb-mark-synnott,The Impossible Climb,Mark Synnott,audiobook+ebook,finished,yes,100,2019-07-29,,2,audible; kindle,,
alone-on-the-wall-alex-honnold-david-roberts,Alone on the Wall,"Alex Honnold,David Roberts",audiobook+ebook,finished,yes,95,2019-07-01,,2,audible; kindle,,
do-you-talk-funny-david-nihill,Do You Talk Funny?,David Nihill,audiobook+ebook,owned,,61,2019-06-12,,2,audible; kindle,,
tomorrow-i-ll-be-brave,Tomorrow I'll Be Brave,,print,owned,,,2019-05-25,,1,amazon-print,,
the-mueller-report-robert-s-mueller-iii-special-counsel,The Mueller Report,"Robert S. Mueller III,Special Counsel's Of",audiobook+ebook,owned,,35,2019-05-17,,2,audible; kindle,,
the-making-of-a-manager-julie-zhuo,The Making of a Manager,Julie Zhuo,audiobook+ebook,owned,yes,47,2019-05-04,,2,audible; kindle,,
where-the-crawdads-sing-reese-s-book-club-delia-owens,Where the Crawdads Sing: Reese's Book Club,Delia Owens,audiobook+ebook,finished,yes,100,2019-04-24,,2,audible; kindle,,
spanish-vocabulary-quick-study,Spanish Vocabulary (Quick Study),,print,owned,,,2019-03-31,,1,amazon-print,,
e-z-spanish-barron-s-easy-series-silverstein-wald-pomera,E-Z Spanish (Barron's Easy Series),"Silverstein, Wald, Pomerantz",print,owned,,,2019-03-31,,1,amazon-print; shelf-photo,,
tragic-design-the-impact-of-bad-product-design-and-how-t,Tragic Design: The Impact of Bad Product Design and How to Fix It,,ebook,owned,,,2019-03-04,,2,kindle; kindle-library,,
born-to-run-christopher-mcdougall,Born to Run,Christopher McDougall,audiobook+ebook,owned,,36,2019-03-03,,2,audible; kindle,,
folsom-untold-the-strange-true-story-of-johnny-cash-s-gr,Folsom Untold: The Strange True Story of Johnny Cash's Greatest Album,Danny Robins,audiobook+ebook,uncertain,,23,2019-02-19,,2,audible; kindle,,
the-handmaid-s-tale-margaret-atwood,The Handmaid's Tale,Margaret Atwood,audiobook+ebook,uncertain,,,2019-01-28,,2,audible; kindle,,
elon-musk-ashlee-vance,Elon Musk,Ashlee Vance,audiobook+ebook,owned,,,2019-01-28,,2,audible; kindle,,
can-t-hurt-me-david-goggins,Can't Hurt Me,David Goggins,audiobook+ebook,finished,yes,100,2019-01-26,,2,audible; kindle,,
code-girls-liza-mundy,Code Girls,Liza Mundy,audiobook+ebook,owned,,16,2019-01-24,,2,audible; kindle,,
ready-or-not-150-make-ahead-make-over-and-make-now-recip,"Ready or Not!: 150+ Make-Ahead, Make-Over, and Make-Now Recipes by Nom Nom Pal",,print,owned,,,2019-01-06,,1,amazon-print,,
pati-s-mexican-table-the-secrets-of-real-mexican-home-co,Pati's Mexican Table: The Secrets of Real Mexican Home Cooking,,print,owned,,,2019-01-06,,1,amazon-print,,
viajes-introduccion-al-espanol-world-languages-hershberg,Viajes: Introduccion al espanol (World Languages),"Hershberger, Navey-Davis, Borras",print,owned,,,2019-01-06,,1,amazon-print; shelf-photo,,
becoming-michelle-obama,Becoming,Michelle Obama,audiobook+ebook,finished,yes,100,2018-12-26,,2,audible; kindle,,
leaders-eat-last-simon-sinek,Leaders Eat Last,Simon Sinek,audiobook+ebook,finished,yes,98,2018-11-25,,2,audible; kindle,,
impro-improvisation-and-the-theatre-keith-johnstone,Impro: Improvisation and the Theatre,Keith Johnstone,print,owned,,,2018-11-17,,1,amazon-print; shelf-photo,,
redesigning-leadership-john-maeda-becky-bermont,Redesigning Leadership,"John Maeda,Becky Bermont",audiobook+ebook,finished,yes,99,2018-11-16,,2,audible; kindle,,
bad-blood-john-carreyrou,Bad Blood,John Carreyrou,audiobook+ebook,finished,yes,100,2018-10-25,,2,audible; kindle,,
make-time-jake-knapp-john-zeratsky,Make Time,"Jake Knapp,John Zeratsky",audiobook+ebook,finished,yes,97,2018-10-25,,2,audible; kindle,,
lonely-planet-peru-travel-guide-lonely-planet-carolyn-mc,Lonely Planet Peru (Travel Guide),"Lonely Planet,Carolyn McCarthy,Greg Benchw",ebook,borrowed,,,2018-09-18,,2,kindle-library; prime-reading,,
saveur-bonnier-corp,Saveur,Bonnier Corp,ebook,borrowed,,,2018-09-18,,2,kindle-library; prime-reading,,
the-7-habits-of-highly-effective-people-the-infographics,The 7 Habits of Highly Effective People: The Infographics Edition,Stephen R Covey,ebook,borrowed,,,2018-09-18,,2,kindle-library; prime-reading,,
hbr-guide-to-persuasive-presentations-hbr-guide-series-h,HBR Guide to Persuasive Presentations (HBR Guide Series),"Harvard Business Review,Nancy Duarte",audiobook+ebook,owned,,9,2018-09-17,2019-02-25,4,audible; kindle; kindle-library,,
born-a-crime-trevor-noah,Born a Crime,Trevor Noah,audiobook+ebook,finished,yes,100,2018-09-03,,2,audible; kindle,,
calypso-david-sedaris,Calypso,David Sedaris,audiobook+ebook,finished,yes,100,2018-08-24,,2,audible; kindle,,
how-to-change-your-mind-michael-pollan,How to Change Your Mind,Michael Pollan,audiobook+ebook,finished,yes,100,2018-08-24,,2,audible; kindle,,
hiking-atlanta-s-hidden-forests-intown-and-out,Hiking Atlanta's Hidden Forests: Intown and Out,,print,owned,,,2018-07-09,,1,amazon-print,,
hiking-georgia-a-guide-to-the-state-s-greatest-hiking-ad,Hiking Georgia: A Guide to the State's Greatest Hiking Adventures (State Hikin,,print,owned,,,2018-07-09,,1,amazon-print,,
why-we-sleep-matthew-walker-phd,Why We Sleep,Matthew Walker PhD,audiobook+ebook,owned,,33,2018-06-26,,2,audible; kindle,,
cork-dork-a-wine-fueled-adventure-among-the-obsessive-so,"Cork Dork: A Wine-Fueled Adventure Among the Obsessive Sommeliers, Big Bottle ",,print,owned,,,2018-06-10,,1,amazon-print,,
shoe-dog-phil-knight,Shoe Dog,Phil Knight,audiobook+ebook,finished,yes,100,2018-06-04,,2,audible; kindle,,
the-speed-of-trust-the-one-thing-that-changes-everything,The SPEED of TRUST: The One Thing That Changes Everything,,print,owned,,,2018-05-16,,1,amazon-print,,
the-gifts-of-imperfection-let-go-of-who-you-think-you-re,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and E,,print,owned,,,2018-05-16,,1,amazon-print,,
the-emperor-of-all-maladies-siddhartha-mukherjee,The Emperor of All Maladies,Siddhartha Mukherjee,audiobook+ebook,uncertain,,4,2018-04-25,,2,audible; kindle,,
the-girl-on-the-train-a-novel-paula-hawkins,The Girl on the Train: A Novel,Paula Hawkins,ebook,borrowed,,,2018-04-07,,2,kindle-library; library-via-kindle,,
hooked-how-to-build-habit-forming-products-nir-eyal-ryan,Hooked: How to Build Habit-Forming Products,"Nir Eyal,Ryan Hoover",ebook,borrowed,,,2018-04-06,2021-01-13,3,kindle-library; library-via-kindle,,
listography-the-game-may-the-best-list-win,Listography: The Game: May the Best List Win!,,print,owned,,,2017-12-13,,1,amazon-print,,
the-southerner-s-cookbook-recipes-wisdom-and-stories,"The Southerner's Cookbook: Recipes, Wisdom, and Stories",,print,owned,,,2017-12-09,,1,amazon-print,,
winning-with-data-transform-your-culture-empower-your-pe,"Winning with Data: Transform Your Culture, Empower Your People, and Shape the ",,print,owned,,,2017-12-07,,1,amazon-print,,
nice-girls-don-t-get-the-corner-office-unconscious-mista,Nice Girls Don't Get the Corner Office: Unconscious Mistakes Women Make That S,,print,owned,,,2017-12-07,,1,amazon-print,,
peru-the-cookbook,Peru: The Cookbook,,print,owned,,,2017-11-13,,1,amazon-print,,
thinking-fast-and-slow-unabridged,"Thinking, Fast and Slow (Unabridged)",,print,wishlist,,,2017-09-30,2023-08-04,2,amazon-print; audible-wishlist,,
information-dashboard-design-the-effective-visual-commun,Information Dashboard Design: The Effective Visual Communication of Data,,print,owned,yes,,2017-09-30,,1,amazon-print,,
the-complete-idiot-s-guide-to-music-theory-2nd-edition-c,"The Complete Idiot's Guide to Music Theory, 2nd Edition (Complete Idiot's Guid",,print,owned,,,2017-09-30,,1,amazon-print,,
city-on-the-verge-atlanta-and-the-fight-for-america-s-ur,City on the Verge: Atlanta and the Fight for Americas Urban Future,,print,owned,,,2017-09-22,,1,amazon-print,,
ready-player-one,Ready Player One,,ebook,owned,yes,,2017-09-05,,2,kindle; kindle-library,,
designing-for-emotion,Designing for Emotion,,print,owned,,,2017-07-17,,1,amazon-print,,
remarkable,Remarkable!,,print,owned,,,2017-04-01,,1,amazon-print,,
information-theory-a-tutorial-introduction,Information Theory: A Tutorial Introduction,,print,owned,,,2017-04-01,,1,amazon-print,,
see-yourself-x-human-futures-expanded,See Yourself X: Human Futures Expanded,,print,owned,,,2017-02-18,,1,amazon-print,,
the-epic-struggle-of-the-internet-of-things,The Epic Struggle of the Internet of Things,,ebook,owned,,,2017-01-29,,2,kindle; kindle-library,,
dark-matter-and-trojan-horses-a-strategic-design-vocabul,Dark matter and trojan horses. A strategic design vocabulary.,,ebook,owned,,,2017-01-29,,2,kindle; kindle-library,,
start-with-why-how-great-leaders-inspire-everyone-to-tak,Start with Why: How Great Leaders Inspire Everyone to Take Action,,print,owned,,,2017-01-22,,1,amazon-print,,
march-trilogy-slipcase-set,March (Trilogy Slipcase Set),,print,owned,,,2016-11-18,,1,amazon-print,,
sprint-how-to-solve-big-problems-and-test-new-ideas-in-j,Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days,,print,owned,yes,,2016-11-13,,1,amazon-print,,
1q84-vintage-international-haruki-murakami,1Q84 (Vintage International),Haruki Murakami,print,owned,,,2016-11-13,,1,amazon-print; shelf-photo,,
mexican-today-new-and-rediscovered-recipes-for-contempor,Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,,print,owned,,,2016-10-04,,1,amazon-print,,
to-sell-is-human-the-surprising-truth-about-moving-other,To Sell Is Human: The Surprising Truth About Moving Others,,print,owned,,,2016-07-12,,1,amazon-print,,
brooklyn,Brooklyn,,ebook,uncertain,,,2016-07-04,,1,kindle,,
earl-scruggs-and-the-5-string-banjo-revised-and-enhanced,Earl Scruggs and the 5-String Banjo: Revised and Enhanced Edition - Book with ,,print,owned,,,2016-06-25,2016-12-16,2,amazon-print,,
osaka-loop-line,Osaka Loop Line,,ebook,uncertain,,,2016-06-25,,1,kindle,,
